,Tweet_id,User_id,TweetAt,Location,OriginalTweet,Country
145,1397686018837463042,4862642431,2021-05-26 22:48:09,,"24 hours after my first vaccine dose and I can mildly taste peanut butter and also pesto for the first time in nearly 7 months.

I may start sobbing uncontrollably. Actually for real though.",Italia
146,1397686017600094208,421307793,2021-05-26 22:48:09,Unceded Musqueam lands ,@Lidsville how can we get people to understand that they NEED to be up in arms? is the lack of basic science literacy that accounts for vaccine hesitation also responsible continuing widespread complacency in BC?,N/A
148,1397686014852861952,1086042423921467404,2021-05-26 22:48:08,"Cardiff, Wales",@gardenerinwales Better - we had a great start to a  vaccine rollout!,United Kingdom
150,1397686004362866693,1364202011063848962,2021-05-26 22:48:05,"Mumbai, India","it's not vaccine wastage but corruption. Demand audit and truth will come out.
#HemantSoren corruption roko bhai ya khud mil baat ke kha rahe.",India
153,1397686000499953664,2496637136,2021-05-26 22:48:04,Derbyshire | He/Him,"@leo1979xz And dont lie about middle of Europe on deaths. Germany, France, Spain, Portugal, Austria, Netherlands, Denmark, Sweden, Norway, Greece, Switzerland, Luxembourg, etc less deaths. Plus the UK then has the worst recession in the G20. Vaccine rollout, that we keep putting at risk too",N/A
154,1397685999396802563,1347665017345245185,2021-05-26 22:48:04,,"@WhiteSalamande3 @justinbaragona And the none too subtle causation allegation being made there. The vaccine CAUSES mass shooters. @FoxNews always does this shit, they stop just short of crossing a legal boundary but the well has been poisoned just as if they had actually said it. @FCC stop these fuckers",Italia
155,1397685995080925184,256778287,2021-05-26 22:48:03,"Florida, USA",@DarreninDC HEY!!! I just saw this. I feel so bad now. (ps I made this Turkish Lentil Soup for my son when he got his last vaccine and he didn't get sick but DID love the soup) *I added cumin and Aleppo pepper. https://t.co/j3x14nLdb8,United States
157,1397685987065700354,15382260,2021-05-26 22:48:01,"Cincinnati via MA, CT, NY, CA",I give @GovMikeDeWine  credit  creative marketing. The Vax a Million seems far more effective than most public ad campaigns and getting participation up is well worth it. https://t.co/F2VeWhVqUN,N/A
158,1397685986503671809,1243217446833737729,2021-05-26 22:48:01,,"@JoeNBC @morningmika 
This is unconscionable:
https://t.co/tMmdSdBmSJ",Italia
159,1397685986042187786,1353477042604486658,2021-05-26 22:48:01,,@WhiteIsTheFury @7tine76 It's an evil vaccine company nothing more,Italia
160,1397685985505333253,1141459895142748161,2021-05-26 22:48:01,,"@DrewLawDesign No, I feel sorry for the people who have died &amp; those in the NHS who are on the end of his shitwhile he pretended to cry about a vaccine that bailed Bozo &amp; chums out of their herd immunity shit.",Italia
162,1397685979993890816,1401932990,2021-05-26 22:48:00,Stands on Kaurna Land,"We've known this for over a year. We've discussed better options #ScoMo has been advised of what to do. He hasn't done it, just like the vaccine un-roll-out. This isn't a state v state, who let the vaccine out of the hotel door thing. It's why is our government failing to act? https://t.co/RnnRaAPyMh",N/A
163,1397685978953752579,743236269585502208,2021-05-26 22:47:59,Kuala Lumpur Federal Territory,"The AZ vaccine 2.0 registration was disappointing. Ppl are angry and frustrated. 

@JKJAVMY, do better!!!",Malaysia
164,1397685973610160131,1289032383522455554,2021-05-26 22:47:58,"Winnipeg, Manitoba",@krisster8 The antidote is always made before a vaccine is released in case there are side effects.,Canada
165,1397685970951094275,4201924932,2021-05-26 22:47:57,"İzmir, Türkiye",ALERT!! WILL YOU REALLY TAKE THE VACCINE AFTER WATCHING THIS? [2021-05-01] - AFTER SKOOL (VIDEO) https://t.co/HjhIRo4dwM via @BitChute #vaccinated #COVID19,Türkiye
167,1397685968283443201,22522046,2021-05-26 22:47:57,,@Chansen9 @RobertGehrke @MikeGoodMD @UofUHealth @Kwilets @ErinClouse Would it seem sensible to assume that folks who are more likely to volunteer to be tested are probably *also* more likely to volunteer to get the vaccine?,Italia
168,1397685962264743936,216082602,2021-05-26 22:47:55,Earth,@akaRaulVasquez @GovEvers @WisconsinDOT @InWisconsin @WDNR I suggest you to take the injection or vaccine because the virus mutates and your body does not develop full immunity. It might remember the virus but the latest scientific studies show the vaccination works against the variations (mutations) even if not completely blocking 'em.,United States
169,1397685958787612674,1291774820519223296,2021-05-26 22:47:54,,"I will only take the Iranian vaccine!
Even if it will kill me! https://t.co/f793FGqbqV",Italia
170,1397685955939782659,1270124826309648386,2021-05-26 22:47:54,,Villarreal striker Gerard Moreno kept his promise to a Spanish television show when he did a vaccine-themed celebration after scoring against Manchester United in the Europa League final on Wednesday. https://t.co/5FrhJvomSz,Italia
171,1397685955717472259,321399668,2021-05-26 22:47:54,,@LEiGH_331 @SkyNews He managed time for a vaccine soundbite so he wasn't really caring about his flow,Italia
174,1397685935240851464,972904202,2021-05-26 22:47:49,United States,"I hope there's a class action lawsuits for these incentives the government is offering people to take the Covid vaccine.

If the government is going to give away lottery tickets to those who took the vaccine, they should offer it to everybody!

#TheDateDoctor
@JimStipeDateDoc",United States
175,1397685935119028228,347537295,2021-05-26 22:47:49,,"@Hamo88058809 @BlowingTom @PatsKarvelas Feds are letting crony capitalism run the vaccine rollout, because they've destroyed the public service",Italia
176,1397685927489769476,163613146,2021-05-26 22:47:47,USA,"I have some concern that a graph of my post-vaccine baseline mood would look like a mirrored version of my pre-vaccine one, which is fine, but uh, maybe a worryingly similar timescale too? I need more of that sun and exercise people talk about. Gonna up my supplement game too. :|",United States
177,1397685926382424068,510856547,2021-05-26 22:47:47,Toronto,My letter to @ChrisGloverMPP regarding the violation of parental rights in the Ontario vaccine rollout https://t.co/PO7VMjBdNR,Canada
178,1397685915577839620,3085629857,2021-05-26 22:47:44,Vancouver,"May 26th Covid-19 Update - 250 new cases, total now 142,886; 296 (-5) hospitalized of which 97 (+4) are in ICU; 3,580 (-202) active cases; 137,517 (+455) recovered; 2,979,951 (+52,464) vaccine doses administered; 3 additional deaths, total now 1,683",Canada
179,1397685912738406400,770066941,2021-05-26 22:47:44,,"@skepticalzebra My favourite moment of the past month was where Nadine Dorries switched from ""herd immunity doesn't exist"" to ""herd immunity cannot be achieved without 90% vaccine uptake""

WTF chile",Italia
180,1397685907893874691,943009957615517696,2021-05-26 22:47:42,"Kuala Lumpur, Wilayah Persekut",@DJSiri @razz128 @msnorthcott same Nobel Prize winner who warned us about ADE post vaccine.,N/A
181,1397685906983817217,1260795401332051970,2021-05-26 22:47:42,,@3Point_Centric @Crayraee @CallMeAgent00 Please enlighten me how anyone benefits from more than half of the population falling ill or dying from a vaccine? The rich people and health workers got the vaccine first them dying or getting sick is the end of America.,Italia
182,1397685900293939205,2159127566,2021-05-26 22:47:41,"Buffalo, NY",Fun fact: the microchip in the #COVID19 vaccine contains that code. You just hold your arm out for the reader. Hope this helps.... https://t.co/Zal2XnHbXx,United States
183,1397685894325362690,1363951609294823426,2021-05-26 22:47:39,,@ArsenalBombay @NatiAFC @UTDTrey Man thanks for discovering the covid vaccine. You are a real gem to this earth bro,Italia
185,1397685886263828480,219758288,2021-05-26 22:47:37,Oregon,"Woebegone and forlorn:

Tennessee anti-vaxxer arrested after deliberately plowing car through vaccination site https://t.co/NSMcAmsm8o",United States
